bootstrap,q,K,case,lower_mode,N_req,N_U_req,N_M_req,total_copy_cost,abs_error_at_crossing,epsilon_eff,found,used_fallback,file,state
28,1,3,NM1_vary_NU,exact,203,203,1,609,0.04537493131118581,0.1,True,False,noisy_ghz_n5_p0d3_depth5_q1_NU100000_NM100_data.npz,noisy_GHZ_p0.3
28,1,4,NM1_vary_NU,exact,25759,25759,1,103036,0.055056896098777425,0.1,True,False,noisy_ghz_n5_p0d3_depth5_q1_NU100000_NM100_data.npz,noisy_GHZ_p0.3
29,1,2,NM1_vary_NU,exact,71,71,1,142,0.06730570925553259,0.1,True,False,noisy_ghz_n5_p0d3_depth5_q1_NU100000_NM100_data.npz,noisy_GHZ_p0.3
29,1,3,NM1_vary_NU,exact,391,391,1,1173,0.0037727667515125574,0.1,True,False,noisy_ghz_n5_p0d3_depth5_q1_NU100000_NM100_data.npz,noisy_GHZ_p0.3
29,1,4,NM1_vary_NU,exact,3616,3616,1,14464,0.04835413308501174,0.1,True,False,noisy_ghz_n5_p0d3_depth5_q1_NU100000_NM100_data.npz,noisy_GHZ_p0.3
30,1,2,NM1_vary_NU,exact,301,301,1,602,0.06502625177978105,0.1,True,False,noisy_ghz_n5_p0d3_depth5_q1_NU100000_NM100_data.npz,noisy_GHZ_p0.3
30,1,3,NM1_vary_NU,exact,977,977,1,2931,0.00319649657712745,0.1,True,False,noisy_ghz_n5_p0d3_depth5_q1_NU100000_NM100_data.npz,noisy_GHZ_p0.3
30,1,4,NM1_vary_NU,exact,4121,4121,1,16484,0.09640236789088186,0.1,True,False,noisy_ghz_n5_p0d3_depth5_q1_NU100000_NM100_data.npz,noisy_GHZ_p0.3
31,1,2,NM1_vary_NU,exact,17,17,1,34,0.026945903361343948,0.1,True,False,noisy_ghz_n5_p0d3_depth5_q1_NU100000_NM100_data.npz,noisy_GHZ_p0.3
31,1,3,NM1_vary_NU,exact,752,752,1,2256,0.04114871944855991,0.1,True,False,noisy_ghz_n5_p0d3_depth5_q1_NU100000_NM100_data.npz,noisy_GHZ_p0.3
31,1,4,NM1_vary_NU,exact,17393,17393,1,69572,0.02778017916246439,0.1,True,False,noisy_ghz_n5_p0d3_depth5_q1_NU100000_NM100_data.npz,noisy_GHZ_p0.3
32,1,2,NM1_vary_NU,exact,231,231,1,462,0.0019990079365085345,0.1,True,False,noisy_ghz_n5_p0d3_depth5_q1_NU100000_NM100_data.npz,noisy_GHZ_p0.3
32,1,3,NM1_vary_NU,exact,579,579,1,1737,0.01081313895766467,0.1,True,False,noisy_ghz_n5_p0d3_depth5_q1_NU100000_NM100_data.npz,noisy_GHZ_p0.3
